,date,species,year,biogeo,canton,river,lot,forest,project,city,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel,locname,loc_date,genus,month
96,2020-09-03,erigeron-annuus,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",erigeron,9
97,2020-09-03,leucanthemum-vulgare,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",leucanthemum,9
98,2020-09-03,centaurea-jacea,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",centaurea,9
99,2020-09-03,echium-vulgare,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Boraginaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",echium,9
100,2020-09-03,galium-mollugo,1,mp,be,suze,X,X,X,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",galium,9
101,2020-09-03,taraxacum-officinale,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",taraxacum,9
102,2020-09-03,ranunculus-acris,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",ranunculus,9
103,2020-09-03,clematis-vitalba,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",clematis,9
104,2020-09-03,dianthus-armeria,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,X,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",dianthus,9
105,2020-09-03,senecio-inaequidens,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",senecio,9
106,2020-09-03,centranthus-ruber,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')",centranthus,9
107,2020-09-03,cichorium-intybus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')",cichorium,9
108,2020-09-03,chelidonium-majus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Papaveraceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')",chelidonium,9
109,2020-09-03,cornus-sanguinea,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Cornaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')",cornus,9
110,2020-09-03,verbena-officinalis,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Verbenaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-09-03')",verbena,9
111,2020-08-04,potentilla-reptans,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')",potentilla,8
112,2020-08-04,bryonia-dioica,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Cucurbitaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-5,"('buerenstrasse-suze-5', '2020-08-04')",bryonia,8
