kingdom,phylum,class,order,family,genus,species,scientificName,verbatimScientificName,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate
Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Exidia,Exidia nigricans,Exidia plana Donk,Exidia plana (Wiggers) Donk,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2012-02-19T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Corticium,Corticium boreoroseum,Laeticorticium lundellii J.Erikss.,Laeticorticium lundellii J. Erikss.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2012-04-06T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Polyporus lipsiensis,Ganoderma lipsiense (Batsch) G.F.Atk.,Ganoderma lipsiense (Batsch) G.F. Atk.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2017-07-13T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes hirsuta,Trametes hirsuta (Wulfen) Pilát,Trametes hirsuta (Wulf.:Fr.) Pilat,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15324,7.20788,2015-04-21T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Neolentinus,Neolentinus adhaerens,Lentinus adhaerens (Alb. & Schwein.) Fr.,Lentinus adhaerens (Alb. et Schwein.: Fr.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-02-09T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita strobiliformis,Amanita strobiliformis (Paulet ex Vittad.) Bertill.,Amanita strobiliformis (Paulet) Bertillon,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2012-09-28T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus striatus,Cyathus striatus Willd.,Cyathus striatus (Huds.) Willd.:Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2017-08-26T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Infundibulicybe,Infundibulicybe gibba,Clitocybe gibba (Pers.) P.Kumm.,Clitocybe gibba (Pers.: Fr.) P. Kumm.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2017-08-26T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Climacocystis,Climacocystis borealis,Climacocystis borealis (Fr.) Kotl. & Pouzar,Climacocystis borealis (Fr.: Fr.) Kotl. et Pouzar,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2017-08-26T00:00:00
Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia circaeae,Puccinia circaeae Pers.,Puccinia circaeae Pers.: Pers.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15335,7.27381,2012-07-22T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,Clitocybe diatreta,Clitocybe diatreta (Fr.) P.Kumm.,Clitocybe diatreta (Fr.:Fr.) P. Kumm.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2017-10-22T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Sarcomyxaceae,Sarcomyxa,Sarcomyxa serotina,Panellus serotinus (Pers.) Kühner,Panellus serotinus (Pers.) Kühner,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2017-10-29T00:00:00
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Flammocladiellaceae,Flammocladiella,Flammocladiella decora,Flammocladiella decora (Wallr.) Lechat & J.Fourn.,Flammocladiella decora (Wallr.) Lechat & J. Fourn.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2013-03-03T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma plebejum,Entoloma plebejum (Kalchbr.) Noordel.,Entoloma plebejum (Kalchbr.) Noordel.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10826,7.20807,2012-04-18T00:00:00
Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber aestivum,Tuber aestivum Vittad.,Tuber aestivum Vittad.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2018-02-28T00:00:00
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Didymocyrtis,Didymocyrtis grumantiana,Phoma grumantiana Zhurb. & Diederich,Phoma grumantiana Zhurb. & Diederich,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10845,7.33982,2016-10-02T00:00:00
